Unique_Key,Agency_Name,Complaint_Type,Descriptor
26514501,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26514062,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26516362,New York City Police Department,Illegal Parking,Blocked Sidewalk
26516014,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26516192,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26514015,New York City Police Department,Illegal Parking,Blocked Hydrant
26517679,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26517671,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26516856,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26517914,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26514135,New York City Police Department,Illegal Parking,Blocked Hydrant
26515508,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26516884,New York City Police Department,Illegal Parking,Blocked Hydrant
26517129,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26514065,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26516150,New York City Police Department,Illegal Parking,Blocked Hydrant
26508909,New York City Police Department,Illegal Parking,Blocked Hydrant
26512743,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26513105,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26512600,New York City Police Department,Illegal Parking,Blocked Hydrant
26512373,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26512349,New York City Police Department,Illegal Parking,Blocked Sidewalk
26513167,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26513865,New York City Police Department,Illegal Parking,Blocked Hydrant
26513728,New York City Police Department,Illegal Parking,Blocked Sidewalk
26508595,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26511966,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26509003,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
